osm_id,key,value,commentary
399538216,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
399539333,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
400425687,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
400425688,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
400426408,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
400448090,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
400602184,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
400613454,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
400616209,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
400877760,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
400888583,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
400891251,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
400894251,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
400894252,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
400894256,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401025841,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401025842,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401029759,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401029774,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401029775,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401029777,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401289605,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401291226,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401291228,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401299238,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401299239,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401299242,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401299243,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401299244,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401299245,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401492766,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401492767,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401492773,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401494473,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401497108,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401497109,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401689990,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401689991,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401689998,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401689999,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401693253,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401693653,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401693658,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401693659,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401693660,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401693661,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401780803,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401780823,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401783240,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401783241,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401783243,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401783906,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401783915,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401786355,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401786356,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401796561,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401796562,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401806176,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401806177,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401806178,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401806194,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401806195,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401810306,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401810307,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401810311,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401831641,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401833468,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
401833469,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
